index,value
1956 Q1,189
1956 Q2,204
1956 Q3,208
1956 Q4,197
1957 Q1,187
1957 Q2,214
1957 Q3,227
1957 Q4,223
1958 Q1,199
1958 Q2,229
1958 Q3,249
1958 Q4,234
1959 Q1,208
1959 Q2,253
1959 Q3,267
1959 Q4,255
1960 Q1,242
1960 Q2,268
1960 Q3,290
1960 Q4,277
1961 Q1,241
1961 Q2,253
1961 Q3,265
1961 Q4,236
1962 Q1,229
1962 Q2,265
1962 Q3,275
1962 Q4,258
1963 Q1,231
1963 Q2,263
1963 Q3,308
1963 Q4,313
1964 Q1,293
1964 Q2,328
1964 Q3,349
1964 Q4,340
1965 Q1,309
1965 Q2,349
1965 Q3,366
1965 Q4,340
1966 Q1,302
1966 Q2,350
1966 Q3,362
1966 Q4,337
1967 Q1,326
1967 Q2,358
1967 Q3,359
1967 Q4,357
1968 Q1,341
1968 Q2,380
1968 Q3,404
1968 Q4,409
1969 Q1,383
1969 Q2,417
1969 Q3,454
1969 Q4,428
1970 Q1,386
1970 Q2,428
1970 Q3,434
1970 Q4,417
1971 Q1,385
1971 Q2,433
1971 Q3,453
1971 Q4,436
1972 Q1,399
1972 Q2,461
1972 Q3,476
1972 Q4,477
1973 Q1,452
1973 Q2,461
1973 Q3,534
1973 Q4,516
1974 Q1,478
1974 Q2,526
1974 Q3,518
1974 Q4,417
1975 Q1,340
1975 Q2,437
1975 Q3,459
1975 Q4,449
1976 Q1,424
1976 Q2,501
1976 Q3,540
1976 Q4,533
1977 Q1,457
1977 Q2,513
1977 Q3,522
1977 Q4,478
1978 Q1,421
1978 Q2,487
1978 Q3,470
1978 Q4,482
1979 Q1,458
1979 Q2,526
1979 Q3,573
1979 Q4,563
1980 Q1,513
1980 Q2,551
1980 Q3,589
1980 Q4,564
1981 Q1,519
1981 Q2,581
1981 Q3,581
1981 Q4,578
1982 Q1,500
1982 Q2,560
1982 Q3,512
1982 Q4,412
1983 Q1,303
1983 Q2,409
1983 Q3,420
1983 Q4,413
1984 Q1,400
1984 Q2,469
1984 Q3,482
1984 Q4,484
1985 Q1,447
1985 Q2,507
1985 Q3,533
1985 Q4,503
1986 Q1,443
1986 Q2,503
1986 Q3,505
1986 Q4,443
1987 Q1,415
1987 Q2,485
1987 Q3,495
1987 Q4,458
1988 Q1,427
1988 Q2,519
1988 Q3,555
1988 Q4,539
1989 Q1,511
1989 Q2,572
1989 Q3,570
1989 Q4,526
1990 Q1,472
1990 Q2,524
1990 Q3,497
1990 Q4,460
1991 Q1,373
1991 Q2,436
1991 Q3,424
1991 Q4,430
1992 Q1,387
1992 Q2,413
1992 Q3,451
1992 Q4,420
1993 Q1,394
1993 Q2,462
1993 Q3,476
1993 Q4,443
1994 Q1,421
1994 Q2,472
1994 Q3,494
